"","baker_first_name","baker_last_name","baker_age","baker_occupation","baker_hometown","series","episode","technical","signature_bake","show_stopper","result"
"306","Glenn","Cosby",37,"English Teacher","Teignmouth, Devon",4,3,"1","Raspberry and Almond Trifle","Billionaire BouchéesOrange Financiers","IN"
"307","Howard","Middleton",51,"Council Worker","Sheffield",4,3,"7","Caramel and Apple Trifle*","Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits","IN"
"308","Kimberley","Wilson",30,"Psychologist","London",4,3,"6","Peach, Almond and Ginger Trifle","Chocolate Pistachio FinanciersLemon Bergamot Biscuits","IN"
"309","Robert","Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire",4,3,"2","Rhubarb and Orange Trifle","Almond FriandsTurǫn Macaroons","IN"
"310","Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex",4,3,"3","Desert Island Trifle","Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes","IN"
"311","Deborah","Manger",51,"Dentist","Peterborough",4,3,"9","Tropical Trifle*","Canelé Cherry and Chocolate CakesRose Cookies","OUT"
"312","Mark","Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes",4,3,"11","Ginger, Mango and Passion Fruit Trifle","Rose and Pistachio MacaroonsChocolate and Raspberry Bites","OUT"
"313","Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire",4,3,"4","Caribbean Pina Colada Trifle","Ninety-NinersSachertorte Parcels","STAR BAKER"
"314","Lucy","Bellamy",38,"Horticulturist","Grimsby, Lincolnshire",4,3,NA,NA,NA,NA
"315","Toby","Waterworth",30,"Web Programmer","Reading, Berkshire",4,3,NA,NA,NA,NA
"316","Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire",4,4,"2","Mamgu's Cherry-Apple Tart","Moroccan Vegetable Filo Feast","IN"
"317","Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire",4,4,"7","Granny Rogers' Apple, Plum & Cinnamon Country Pie","Roasted Vegetable Filo Pie with Feta Cheese","IN"
"318","Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire",4,4,"1","Peach Pie In the Sky","Cherry Tree Baklava Filo Pie","IN"
"319","Glenn","Cosby",37,"English Teacher","Teignmouth, Devon",4,4,"9","Apple & Maple Syrup Pie","Spanakopita (Walnut and Feta Cheese)","IN"
"320","Howard","Middleton",51,"Council Worker","Sheffield",4,4,"5","Apple Pie with Sage Pastry","Fresh Fig and Feta Filo Flan","IN"
"321","Robert","Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire",4,4,"3","Apple and Pear Pie with Thyme","Spanakopita with St George's Mushrooms","IN"
"322","Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex",4,4,"6","Apple and Marzipan Pie","Rose, Almond and Raspberry Filo Pie","IN"
"323","Ali","Imdad",25,"Charity worker","Saltley, Birmingham",4,4,"8","Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","Orange, Cardamom and Date M'Hanncha","OUT"
"324","Kimberley","Wilson",30,"Psychologist","London",4,4,"4","Pecan and Rosemary Caramel Apple Pie","Chicken, Bacon and Butternut Squash Pie","STAR BAKER"
"325","Deborah","Manger",51,"Dentist","Peterborough",4,4,NA,NA,NA,NA
"326","Lucy","Bellamy",38,"Horticulturist","Grimsby, Lincolnshire",4,4,NA,NA,NA,NA
"327","Mark","Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes",4,4,NA,NA,NA,NA
"328","Toby","Waterworth",30,"Web Programmer","Reading, Berkshire",4,4,NA,NA,NA,NA
"329","Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire",4,5,"5","Chocolate, Cherry and Hazelnut Brownies","Tiered Macaron and Sugar Dough Biscuit Centrepiece","IN"
"330","Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire",4,5,"3","Millionaire Banoffee Bonus","Biscuit Buttons and Beads","IN"
"331","Glenn","Cosby",37,"English Teacher","Teignmouth, Devon",4,5,"2","Apricot and Pistachio Tiffin","Shortbread and Macaron Helter-Skelter","IN"
"332","Howard","Middleton",51,"Council Worker","Sheffield",4,5,"8","Breakfast Traybake","Japanese Pagoda Tea Tower","IN"
"333","Kimberley","Wilson",30,"Psychologist","London",4,5,"7","Cherry and Almond Bakewell Florentine Slice","Black and White Viennese Biscuit Stack","IN"
"334","Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex",4,5,"6","Blackberry and Lemon Bakewell Slice","'Dropped Ice-Cream' Biscuit Centrepiece","IN"
"335","Robert","Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire",4,5,"4","Blueberry & Orange Traybake","Dalek","OUT"
